99999,1,3,3,3,3,3,3,3,3,1,1,3,3,1
1,99999,3,3,3,3,3,3,3,3,1,1,3,3,1
3,3,99999,2,2,2,2,2,2,2,3,3,2,2,3
3,3,2,99999,2,2,2,2,2,2,3,3,2,2,3
3,3,2,2,99999,2,2,2,2,2,3,3,2,2,3
3,3,2,2,2,99999,2,2,2,2,3,3,2,2,3
3,3,2,2,2,2,99999,2,2,2,3,3,2,2,3
3,3,2,2,2,2,2,99999,2,2,3,3,2,2,3
3,3,2,2,2,2,2,2,99999,2,3,3,2,2,3
3,3,2,2,2,2,2,2,2,99999,3,3,2,2,3
1,1,3,3,3,3,3,3,3,3,99999,1,3,3,1
1,1,3,3,3,3,3,3,3,3,1,99999,3,3,1
3,3,2,2,2,2,2,2,2,2,3,3,99999,2,3
3,3,2,2,2,2,2,2,2,2,3,3,2,99999,3
1,1,3,3,3,3,3,3,3,3,1,1,3,3,99999
